
βαριέμαι ,είχα βαρεθεί πια να γυρνάω ,I am bored ,I had gotten bored of going around 
αναρωτιέμαι,αναρωτιέται αν πρέπει να πάει ,I wonder/ask myself ,she wonders if she should go 
το λύκειο,,high school (Lyceum),
"χαϊδεύω, θα χαϊδέψω ",χάιδεψα τα μαλλιά της ,"I stroke, pet, caress",I stroked her hair
"το διαγώνισμα, τα διαγωνίσματα",,"the exam(s), test(s)",
το πτώμα,το πτώμα βρέθηκε στην παραλία,"corpse, body (dead)",the corpse was found on the beach 
έλα όμως,,but come on / come on though ,
"το σχέδιο, τα σχέδια",,the plan(s)/design(s),
χώνω ,χώνω το βιβλίο στην τσάντα ,"I stick, shove, put (something into a place), (usually w/ force/carelessness)",I put the book in the bag 
το τέρμα,τέρμα Θεού,"end, limit","God's limit (meaning something that is beyond ordinary limits, extreme situation, point of no return)"
το μάγουλο ,με φίλησε στο μάγουλο ,cheek,she kissed me on the cheek
κατευθείαν,,immediately,
"αμήχανα (adv), αμήχανος -η-ο (adj)",απάντησε αμήχανα στην ερώτηση που του έκανε,"awkwardly, uneasily, hesitantly; awkward (adj)",he answered awkwardly to the question that she asked him
"περνώ (more formal), περνάω (used more in casual conversation), θα περάσω",θέλω να περάσω καλά σήμερα,"I pass, go through, spend time (I will ""..."")",I want to have a good time today
πανέμορφος -η-ο,η γκόμενα είχε απίστευτα πανέμορφο χαμόγελο ,"beautiful, gorgeous ",the girl had an unbelievably beautiful smile 
δεν τρέχει τίποτα ,σα (short for σαν) να μην τρέχει τίποτα ,nothing is wrong/out of the ordinary ,as if nothing is wrong 
το ζευγάρι ,ένα ζευγάρι και δυο άντρες ,couple,one couple and two men 
το ύφος ,σα να άλλαξε ύφος η μου φάνηκε;,tone,like she changed tone or did it (just) seem to me (aor)?
ο ανήρ,,man,
δένω ,να δένουν με το σκηνικό ,"I tie, bind, fasten, or connect (fig.)",to blend/match with the scene
η διαφήμιση,και το κάτασπρο χαμόγελο δεν ήταν σαν αυτό το σπαστικό των διαφημίσεων ,"advertisement, commercial",and the pure-white smile wasn't like this annoying one from the advertisements 
"δείχνω, θα δείξω",θέλεις να σου δείξω τη φωτογραφία;,"I show, I will show",do you want me to show you the photograph?
εκτός,εκτός από κάνα δυο φρικιά,"except, outside, apart from",except for some two freaks
κάτασπρος -η-ο (adj.),,"pure white, snow-white ",
σπαστικός -ή-ό,,"annoying, irritating",
έστω ,"εντάξει, μόνο να μου χαμογελάσει έστω ","let it be, suppose (suppose this and this...), at least","ok, only to smile at me at least "
εκνευριστικός -ή-ό,δεν υπάρχει πιο εκνευριστικό πράγμα από το να περπατάς στη βροχή  (το = def article that describes να περπατάς),annoying ,there does not exist a more annoying thing than to walk in the rain
"επιμένω, θα επιμείνω, επέμεινα",επέμεινα την γνώμη μου,"I insist/persist; I will..., I insisted",I insisted on my opinion
άθλια (adj.),παίζουν μια άθλια μουσική,awful,
"η συνήθεια, οι συνήθειες ",θέμα συνήθεια είναι ,"habit(s), custom(s)",it's a matter of habit
αφ' ότου (από ότου ?),αφ' ότου μ' απαρνήθηκες,"since, from the time that",since you abandoned me (since in terms of time)
η ταυτότητα ,,identity/ID,
πικρός -ή-ό ,"η πικρή αλήθεια είναι δύσκολο να ακουστεί (δύσκολο is neuter because refers to ""να ακουστεί"") ",bitter,the bitter truth is hard to hear (aor subjunc) 
"καίω, έκαψα (aor), έκαιγα (imperfect)",Έκαιγε όλο το στόμα μου,"I burn, I burned, I was burning",my whole mouth was burning 
ψάχνω (pres. participle = ψάχνοντας),ψάχνω μια νέα δουλειά ,"I search (for), look (for)",I'm looking for a new job
χαρτζιλικώνομαι,χαρτζιλικώνομαι από τον πατέρα μου,I get pocket money (colloquial),I get pocket money from my father
γνώριμος -η-ο,οι γνώριμες φάτσες ,familiar ,the familiar faces 
την είχε καταβρεί!,,she had found herself! (was enjoying herself),
ο συνδρομητής ,,subscriber ,
η ελευθερία ,,"freedom, liberty ",
φυχολογικός -ή-ό,,psychological,
η ειλικρίνεια ,κρίση ειλικρίνειας ,honesty ,crisis of honesty 
"διστάζω, θα διστάσω ",δίστασα να του ρωτήσω ,"I hesitate, I will hesitate ",I hesitated to ask him (aor subj)
το ράντζο ,Έχω να κοιμηθώ (aor subj) σε ράντζο από την τελευταία φορά που πήγα στο στρατό.,"bunk/camp bed (folding/makeshift bed used in temporary sleeping arrangements, e.g. military, hospital, camping settings)",I haven't slept (aor subj) in a bunk since the last time that I went to the army.
"χωρώ/χωράω (-αω more informal), χώρεσα ",πώς χωρέσανε τόσα ποτά σε ένα τόσο μικρό ποτήρι;,"I fit, I fit (aor)",how did so many drinks fit in such a small glass?
η ανάσα,παίρνω βαθιά ανάσα ,breath,I take a deep breath 
όπως ,δεν σε αγαπούν όπως σε αγαπώ εγώ ,"like (compares actions, states, situations; whereas σαν is used to casually say something is similar, used mainly with nouns)",they don't love you like I love you 
χαμένος -η-ο (past participle),Χαμένες Λεωφόρους ,lost ,Lost Avenues 
"το παντζάρι, τα παντζάρια ",έγινα κατακόκκινος σαν παντζάρι ,"beet/beetroot, beets/beetroots",I became deep red like beetroot
σχεδόν ,σχεδόν την είχα από πριν έτοιμη την απάντηση ,"almost, nearly (adv)",I almost had the answer ready from before
πειραχτικά (from πειράζω),,playfully/teasingly (adv),
γλεντώ,θα γλεντήσω με τους φίλους μου,"I celebrate, I have a good time",I will celebrate with my friends
"επιβάλλω, επέβαλα",κι ούτε τους το επέβαλε κανείς να πάνε,"I impose/force , I imposed/forced",and no one forced them to go
"καταστρέφω, θα καταστρέψω ",,"I destroy/ruin, I will destroy/ruin",
"ο βαθμός, οι βαθμοί",Πήρα πολύ καλό βαθμό στο διαγώνισμα.,"degree (measure of temperature or degree as in e.g. ""high degree of attention""), rank, level, grade",I got a very good grade on the exam.
"σχηματίζομαι (pres/imperf for 1/s but diff in other forms), σχηματίστηκα, σχηματιστώ",παρατηρούσα τις σκιές που σχηματίζονταν ,"to form, to be formed (pres/imperf, aorist, fut aor)",I was observing the shadows that were being formed 
με μιας ,το κατέβασα με μιας ,"all at once, in one go (instantly, without hesitation)",I drank it (brought it down) in one go
"βαθύς, βαθιά, βαθύ (adj., m-f-n)",,deep,
κανείς,,"anyone/anybody, no one in negative sentences",
περί ,αν κάποιος μου 'λεγε αυτές τις κουβέντες περί αυτού...,"about, concerning, regarding",if someone told me these chats about this...
η μπουνιά ,και θες να του χώσεις μια μπουνιά ,"a fist, punch/blow (delivered by fist)",and you want to punch him (give him a punch)
πιάνω,"πιάνω την μπαλα, πιάνεις το νόημα; αν πιάσεις...",catch/hold,"I catch the ball, do you understand the meaning?, if you catch..."
γουστάρω,παίζουν μια άθλια μουσική που κανείς δε γουστάρει,I like,they play awful music that no one likes
"η κατάπτωση, οι κατάπτωσεις",της ψυχολογικής κατάπτωσης ,"the decline, deterioration, collapse ",of the psychological decline
αλλαγμένος -η-ο,,changed (past participle),
άνετος -η-ο,το παίζω άνετος,"comfortable, relaxed, laid-back",I play it cool
ρωτάω,,I ask,
"είχανε πάρα πολλά (πολλοί-ές-ά) (adj) σφηνάκια. μιλάς (πάρα) πολύ (adv, sometimes adj) γρήγορα",,they had too many shots. you're talking too fast,
"το στήθος, τα στήθη",το στήθος του πονούσε ,chest,his chest was hurting (imperfect)
"διακριτικός-ή-ό (adj), διακριτικά (adv)",μου την είπε διακριτικά ,"discreet(ly), tactful(ly)",she said it to me discreetly
πειράζω,Μην πειράζεις τον αδελφό σου,"I bother, tease",Don't tease your brother 
κρεμάω,συγνώμη που σε κρεμάω,"I hang, let someone down, leave someone hanging",sorry that I'm letting you down/leaving you hanging
το γέλιο ,,laughter ,
κιόλας (adverb),αν σκεφτείς ότι μόλις κάθισα κι είχα κιόλας πιει όλα αυτά ,already,if you think that as soon as I sat down I had already drank all of that 
φτύνω ,οι κολλητοί σου να σε φτύνουν ,"I spit, fig.: I look down on","your close (best) friends will spit on you (look down on you, show contempt)"
ολοήμερος -η-ο,έχω ολοήμερες γιορτές  ,"all-day, full-day (adj)",I have all-day celebrations 
"κοροϊδευτικός -ή-ό (adj), κοροϊδεύω (verb)",η απάντηση του ήταν κοροϊδευτική (nom sing bc matched noun),"mocking/sarcastic (adj), I mock/ridicule (verb)",his answer was sarcastic/mocking
"το σημείο, τα σημεία ",δεν υπάρχει λέξη στον κόσμο που να εκφράζει καλύτερα το σημείο της ψυχολογικής κατάπτωσης,"the point(s) (like in a discussion/argument/speech, or like stage)",there is no word in the world that can better express the point of psychological decline (point as in stage)
ξηγιέμαι,γιατί ξηγιέται έτσι; θέλω σπαθί να μου ξηγιεσαι. γιατί δεν ξηγιέσαι καθαρά;,"I behave, I treat others, I explain myself",why is he behaving like that? I want you to treat me like a sword. why aren't you explaining yourself clearly?
τέτοιος -α-ο,σε τέτοια ώρα δεν θέλω να ακούω μουσική ,"such, such a kind of",at such an hour I don't want to listen to music 
η έλλειψη ,έχω έλλειψη χρόνου; στην αγορά υπάρχει έλλειψη φρούτων σήμερα ,"lack, shortage, deficiency ",I have a shortage of time; in the market there is a lack of fruits today
"υπερβολικός -ή-ό (adj), υπερβολικά (adv)",μου αρέσει υπερβολικά αυτό το μαύρο ντύσιμο ,"excessive, exorbitant (adv: excessively, too much)",I love that black clothing/dressing excessively 
"άσχημος -η-ο (adj), άσχημα (adv)",,"ugly, unpleasant, bad",
χρησιμοποιώ,χρησιμοποιώ το κινητό μου για να βλέπω ποδόσφαιρο,I use,I use my phone to watch soccer 
να μη τη βγάλουμε... (saying/phrase),να μη τη (refers to smthg like κατάσταση) βγάλουμε σε κανένα ράντζο νυχτιάτικα ,let's not end up....(in this situation)/let's not survive through (this situation) (can mean survival/endurance in idiomatic context rather than remove),let's not end up in some bunk/tent in the middle of the night 
"πέρυσι, πέρσι (informal)",,last year,
"το εγκεφαλικό, τα εγκεφαλικά ",ήμουν έτοιμος να πάθω εγκεφαλικό ,stroke(s),I was ready to suffer a stroke 
γερό,,strong,
γνήσιος,,"true, genuine",
"μπερδεύω, θα μπερδέψω ",μην μπερδεύεις τα λόγια σου,"I confuse, mix up, tangle",don't mix up your words!
η ελπίδα ,,hope,
νωρίς,,early ,
βαράω,"βαράω την πόρτα, ο ήλιος βαράει σήμερα ","I hit/strike, sound/ring, pound/beat, be strong/intense","I hit the door, the sun is strong today"
πετάω,Το έχω πετάξει,I throw (out),I have thrown it out
ζαλίζομαι,,I feel dizzy,
λιώμα,,"mushy (comes from melt, melting)",
γεμάτος -η-ο,,full (of),
"ο ώμος, οι ώμοι",οι ώμοι μου είναι δυνατοί ,shoulder(s),my shoulders are strong 
η διήγηση,Έχω πετάξει τη διήγηση άλλου γι' άλλου,the narration/storytelling,I have thrown the storytelling all over the place
παρατηρώ ,παρατηρώντας ανθρώπους ,I observe/watch/notice (paying close attention),watching (the) men
"το παράθυρο, τα παράθυρα ",,the window(s),
"ξαφνιάζομαι, θα ξαφνιαστώ, ξαφνιάστηκα (related to ξαφνικά) ",ξαφνιάστηκε με τα νέα ,"I am surprised/startled, I will be surprised (aorist future), I was surprised (aor)",he/she was surprised by the news 
αποφασίζω,Αποφασίζω να πάω διακοπές αυτό το καλοκαίρι,I decide,I decide to go on vacation this summer
"ξεχνώ (ξεχνάω more informal), θα ξεχάσω ","κι όταν δω τα δυο σου μάτια όλα, φως μου, τα ξεχνώ ","I forget, I will forget","and whenever I see your two eyes everything, my light, I forget "
πενθώ,Ο Δημήτρης πενθεί ,I mourn,Dimitri mourns
το συντομότερο δυνατό,,"as soon as possible (the soonest--comp. form of soon, used as sooner--possible)",
αυτος που για να πιάσει κουβέντα θα κάνει αυτό,,"he, who in order to strike up a conversation, will do this",
η ηλικία ,,age,
"δυναμώνω, θα δυναμώσω, δυνάμωσα ",το κάψιμο είχε δυναμώσει και τώρα ήταν πιο χάλια από ποτέ!,"I strengthen, I will strengthen, I strengthened ",the burning had strengthened and now it was more terrible than ever!
το κουμπί,,the button ,
εκφράζω ,πρέπει να εκφράσεις τη γνώμη σου,I express,you should express your opinion
μετριάζω ,έπρεπε να βρω κάτι να μετριάσω το κάψιμο ,"I reduce, lessen, moderate",I had to find something to lessen the burning 
περνάω,άλλοι περνάν ολόκληρη τη ζωή τους εκεί,"pass, experience",others spend their whole life there
"επανέρχομαι, επανήλθα ",Ξαφνικά είχα επανέλθει ,"I come back, return, revert; (then aorist)",suddenly I had returned 
"το έτος, τα έτη",σου λέει ότι υπάρχει ένα αστέρι δύο εκατομμύρια έτη φωτός μακριά,year(s),he says to you that there exists a star 2 million light years away 
πεινάω ,"Κοίτα δω, πείνασα πάλι!",I am hungry ,"Look here, I was hungry again!"
"το υπόγειο, τα υπόγεια ",τα μικρά παράθυρα των υπόγειων,"the underground, basement ",the small windows of the basements
"μαντεύω, θα μαντέψω ",πρέπει πάντα να με βάζεις να μαντεύω;,"I guess/predict, I will guess/predict",do you always have to make me guess?
δυνατός -ή-ό,,"strong, possible, powerful, loud ",
"απαλός -ή-ό, απαλά ",έπαιξαν την μουσική απαλά  ,"soft/gentle (adj), softly/gently (adv)",they played the music softly 
κάτι,έχεις κάτι για μένα;,"some, something",do you have something for me?
δικαιολογημένα (adv),Δικαιολογημένα δε φωνάζω;,"reasonably, justifiably, with justification",aren't I justifiably shouting?
πλέον (adv),είχα χάσει πλέον τον έλεγχο ,"anymore, no longer, can also mean now/from now",I had now lost control
"απλά, απλός -ή-ό ",απλά κάνε αυτό που σου λέω ,"simply/just (adv), plain (adj)",simply/just do what I tell you
"το χτύπημα, τα χτυπήματα ",τα χτυπήματα ήταν πολύ δυνατά ,"hit(s), blow(s)",the hits were very strong 
η πολυκατοικία ,των πολυκατοικιών ,the apartment building (the whole complex; one structure with multiple units),of the apartment buildings 
περίεργος -η-ο,περίεργο τρόπο,"strange, weird",weird way
τα ναζάκια (diminutive form of τα νάζια),γιατί μ' αυτά σου τα ναζάκια ,flirtations ,because with those flirtations of yours 
"χάνω -- έχασα ; χάνομαι, χάθηκα, χανόμουνα",και ενώ εγώ χανόμουνα αβοήθητος...,"I lose, I lost (active); I lose myself, I lost myself (aor), I was losing myself (imperf) (reflexive)","and while I was losing myself, helpless..."
"ψύχραιμος -η-ο (adj), ψύχραιμα (adv)","βέβαια, τώρα που το σκέφτομαι πιο ψύχραιμα ","calm, composed (calmly, rationally)","of course, now that I think about it more rationally "
"το σπαθί, τα σπαθιά",,the sword(s),
"το καμάκι, τα καμάκια ",Άλλοι όταν πάνε να κάνουν καμάκι δεν βάζουν τζατζίκι στην πίτα,literally: fishing spear (traditional tool used in Mediterranean); colloquial: act of flirting/hitting on someone,others when they go to flirt they don't put tzatziki in the pita 
τσάμπα,οι κολλητές της που πίνουν τσάμπα...,for free,her best friends who drink for free...
ψελλίζω,"""Καλησπέρα"", ψέλλισα ","I mumble, stammer","""Good evening"", I mumbled"
"σκύβω, θα σκύψω ",έσκυψε κοντά μου ,"I bend, stoop, lean",she bent/leaned close to me 
καθώς ,"καθώς μιλούσε, όλοι την άκουγαν. ","while, as, since","as she was speaking, everyone was was listening to her. "
το σκουπιδιάρικο ,,garbage/trash truck (slang),
το περιτύλιγμα ,σε κόκκινο περιτύλιγμα ,"wrapping, packaging, covering",in red wrapping 
τα κουραφέξαλα ,τα γνωστά κουραφέξαλα,"the nonsense, the absurdities, foolishness",the well-known/usual nonsense
"ο φαντάρος, οι φαντάροι",αυτοί δεν είναι φαντάροι,soldier(s),they are not soldiers
σαδιστικά (adv),"""Κύριε Μποντ"", συνέχισε σαδιστικά, ""ξέρετε, μας τελειώσανε οι ελιές...""",sadistically (deriving pleasure from others' pain),"""Mr. Bond"", she continued sadistically, ""you know, we ran out of olives (the olives ended for us) """
η σκοπιά,,the watch/guard duty (military context),
διάφανος -η-ο (adj.),,transparent ,
κάποιος -α-ο,χωρίς κάποιον απ' αυτούς ,"some, certain, any",without any of them 
"η κολλητή, οι κολλητές",best friend(s),best friends,
ηλίθιος -α-ο,αυτοί οι ηλίθιοι δεν καταλαβαίνουν τίποτα!,"stupid, idiotic ",these idiots don't understand anything!
νοικοκυρεμένος -η-ο,Το δωμάτιο της ήταν πιο νοικοκυρεμένο από το δικό μου,"Neat, tidy",Her room was more neat than mine
ντυμένος -η-ο (past participle of ντύνομαι),"κι ήταν τόσο μαύρα ντυμένη (τόσο is singular, modified ντυμένη)",dressed ,and she was dressed so black 
"ανακατεύω, ανακατεμένο ",το ανακατεμένο κοκτέιλ ήταν πολύ γλυκό ,"I stir/mix, stirred/mixed",the stirred/mixed(-up) cocktail was very sweet 
το υβρεολόγιο ,,the profanity ,
(με) άδεια (η άδεια),είχα μόλις γυρίσει με άδεια,(with) leave/permission,I had just returned with permission 
"κουνάω, κουνημένο",το κουνημένο τραπέζι ήταν έτοιμο να πέσει ,"I shake/move, shaken/moved/shaky",the shaky table was about to/ready to fall
"η σειρά, οι σειρές",προϊστορικές σειρές ,"the series (can refer to sequence or like a series in tv, music, etc)",prehistoric series (plural)
κατάματα (adv),εκείνη με κοίταζε κατάματα ,directly in the eyes,that one (fem.) was looking at me directly in the eyes 
"το επιχείρημα, τα επιχειρήματα ",του αραδιάζω τα καλύτερα μου επιχειρήματα ,"the argument(s), the point(s) (as in point in an argument/debate)",I lay out my best points/arguments to him
"καταντώ, θα καταντήσω, κατάντησα ",με κατάντησες μπεκρή ,"I become, I will become, I became (can also mean to make someone become if used with a direct object like με)",you made me into a drunk
το εξάμηνο,εσύ για ένα εξάμηνο δε μπορείς να πας;,semester (period or term of six months),you cant go for one semester?
η ομιλία (μιλιά = informal),ανέκτησα τη μιλιά μου ,"speech (can be a speech, or just speech in general)",I regained my speech 
συνέρχομαι ,χρειάζομαι λίγο χρόνο για να συνέλθω ,"I recover, come to (my senses), regain composure ",I need a little time to recover 
"οδηγώ, οδηγούμαι ",οδηγήθηκα ασυνείδητα ,"I drive/lead/guide (active), I am driven/led/guided (passive)",I was led/driven subconsciously 
"το πείσμα, τα πείσματα ",πείσματα να μη μου κανείς ,"stubbornness, determination ",don't be stubborn with me (literally: don't do to me stubbornness)
"το φρικιό, τα φρικιά (neu.)",,"freak, freaks",
τηλεφωνώ ,τηλεφωνώ στον δεύτερο,I call,I call the second one
δε λέει (colloquial phrase),,it doesn't make sense / it's not a good idea ,
μάλλον (adv.),Μάλλον θα βρέξει αύριο,"1. probably, more likely (indicating probability) 2. rather (indicating preference)",it will probably rain tomorrow
"η ανταύγεια, οι ανταύγειες (plural much more common)",μαύρα με κόκκινες ανταύγειες ,highlights (in relation to hair) (or glow/reflection in hair if singular ) ,black with red highlights 
ο έλεγχος,χάνω τον έλεγχο,"control (check, inspection)",I'm losing control
ολόκληρος-η-ο,ολόκληρη τη ζωή τους,"whole, entire, complete",their whole life 
η πρωτεύουσα,Η Λευκωσία είναι η πρωτεύουσα της Κύπρου,the capital,Nicosia is the capital of Cyprus
η καρακάξα,,"magpie, girl (loud/annoying, neg.)",
η οδοντοστοιχία ,θα του καταστρέψεις την οδοντοστοιχία!,dentures / dental prosthesis,You're going to destroy his dentures!
ο κουβαρντάς,εκτός από κουβαρντάς,"generous guy, show-off (different meanings)",apart from being a show-off
η κατάσταση,,"the situation, state",
η ανάγκη ,το 'χα (είχα) μεγάλη ανάγκη αυτό το χαμόγελο ,"necessity, need",I had a great need for (really needed) that smile 
"πειθώ, θα πείσω",ο φίλος μου έπεισε την μαμά μου να με αφήσει να πάω στο πάρτι ,"I persuade/convince, I will persuade/convince ",my friend persuaded my mom to let me go to the party 
η κουτσουκέλα (inf),,little one/child/little rascal/brat,
"συνηθίζω, θα συνηθίσω (related to συνήθεια: habit/custom)",μάλλον το συνήθισα ,"I get used to/become accustomed, I will get used to",I probably got used to it 
τσακώνομαι,είχε τσακωθεί,"I argue, fight ",he had argued 
ο θόρυβος ,άκουσα έναν θόρυβο έξω από το παράθυρο ,"noise, sound",I heard a noise outside of the window 
"ο οποίος, η οποία, το οποίο (rel. pronoun)","Η ταινία, η οποία είδα χτες, ήταν υπέροχη.","which, who (prob more meanings)","The movie, which I saw yesterday, was wonderful"
όμως,"θέλω να πάω στο πάρκο, όμως βρέχει","but, however, yet","I want to go to the park, but it's raining"
"το λεξιλόγιο, τα λεξιλόγια ",,the vocabulary (vocabularies),
"εξασφαλίζω, θα εξασφαλίσω",ελπίζω να μου εξασφαλίσει κρεβάτι στο σπίτι ,"I secure/ensure, I will secure/ensure (closed future)",I hope that he will secure me a bed in the house 
